timestamp,value
2023-09-01T06:48:58Z,97.6
2023-09-01T06:49:58Z,98.1
2023-09-01T06:50:58Z,98.1
2023-09-01T06:51:58Z,98.3
2023-09-01T06:52:59Z,98.5
2023-09-01T06:53:59Z,98.2
2023-09-01T06:54:59Z,50.0
2023-09-01T06:55:59Z,97.6
2023-09-01T06:56:59Z,97.3
2023-09-01T06:57:59Z,96.8
2023-09-01T06:59:00Z,96.3
2023-09-01T07:00:00Z,95.7
2023-09-01T07:01:00Z,93.2
2023-09-01T07:02:00Z,92.2
2023-09-01T07:03:00Z,93.0
2023-09-01T07:04:00Z,92.7
2023-09-01T07:05:00Z,93.0
2023-09-01T07:06:00Z,93.1
2023-09-01T07:07:00Z,93.5
2023-09-01T07:08:00Z,94.4
2023-09-01T07:09:00Z,94.9
2023-09-01T07:10:00Z,95.6
2023-09-01T07:11:00Z,94.8
2023-09-01T07:12:00Z,95.2
2023-09-01T07:13:00Z,96.2
2023-09-01T07:14:00Z,95.7
2023-09-01T07:15:01Z,96.1
2023-09-01T07:16:01Z,97.4
2023-09-01T07:17:01Z,97.2
2023-09-01T07:18:01Z,97.1
2023-09-01T07:19:01Z,96.6
2023-09-01T07:20:01Z,96.6
2023-09-01T07:21:01Z,95.7
2023-09-01T07:22:01Z,50.0
2023-09-01T07:23:01Z,50.0
2023-09-01T07:24:01Z,95.7
2023-09-01T07:25:01Z,93.3
2023-09-01T07:26:01Z,93.0
2023-09-01T07:27:01Z,93.7
2023-09-01T07:28:01Z,94.5
2023-09-01T07:29:02Z,94.3
2023-09-01T07:30:02Z,50.0
2023-09-01T07:31:02Z,94.2
2023-09-01T07:32:02Z,94.4
2023-09-01T07:33:02Z,50.0
2023-09-01T07:34:02Z,93.6
2023-09-01T07:35:02Z,94.3
2023-09-01T07:36:02Z,93.7
2023-09-01T07:37:02Z,93.6
2023-09-01T07:38:02Z,93.2
2023-09-01T07:39:02Z,93.2
2023-09-01T07:40:02Z,93.0
2023-09-01T07:41:02Z,92.7
2023-09-01T07:42:02Z,92.7
2023-09-01T07:43:02Z,92.8
2023-09-01T07:44:02Z,92.7
2023-09-01T07:45:02Z,92.8
2023-09-01T07:46:03Z,50.0
2023-09-01T07:47:03Z,93.0
2023-09-01T07:48:03Z,93.6
2023-09-01T07:49:03Z,94.2
2023-09-01T07:50:03Z,94.0
2023-09-01T07:51:03Z,94.5
2023-09-01T07:52:03Z,94.4
2023-09-01T07:53:03Z,50.0
2023-09-01T07:54:03Z,93.5
2023-09-01T07:55:03Z,93.1
2023-09-01T07:56:03Z,92.7
2023-09-01T07:57:03Z,92.1
2023-09-01T07:58:03Z,91.5
2023-09-01T07:59:03Z,91.5
2023-09-01T08:00:03Z,91.4
2023-09-01T08:01:03Z,50.0
2023-09-01T08:02:03Z,91.0
2023-09-01T08:03:04Z,50.0
2023-09-01T08:04:04Z,90.2
2023-09-01T08:05:04Z,90.6
2023-09-01T08:06:04Z,91.0
2023-09-01T08:07:04Z,91.4
2023-09-01T08:08:04Z,50.0
2023-09-01T08:09:04Z,91.4
2023-09-01T08:10:04Z,91.3
2023-09-01T08:11:04Z,91.2
2023-09-01T08:12:04Z,90.9
2023-09-01T08:13:04Z,90.9
2023-09-01T08:14:04Z,90.6
2023-09-01T08:15:05Z,90.8
2023-09-01T08:16:05Z,90.3
2023-09-01T08:17:05Z,90.2
2023-09-01T08:18:05Z,90.7
2023-09-01T08:19:05Z,50.0
2023-09-01T08:20:05Z,50.0
2023-09-01T08:21:05Z,89.4
2023-09-01T08:22:05Z,83.6
2023-09-01T08:23:05Z,80.4
2023-09-01T08:24:05Z,78.5
2023-09-01T08:25:05Z,80.1
2023-09-01T08:26:05Z,79.3
2023-09-01T08:27:05Z,78.1
2023-09-01T08:28:05Z,81.7
2023-09-01T08:29:05Z,82.2
2023-09-01T08:30:05Z,82.6
2023-09-01T08:31:05Z,82.4
2023-09-01T08:32:06Z,82.2
2023-09-01T08:33:06Z,81.8
2023-09-01T08:34:06Z,82.2
2023-09-01T08:35:06Z,82.2
2023-09-01T08:36:06Z,82.1
2023-09-01T08:37:06Z,81.9
2023-09-01T08:38:06Z,81.8
2023-09-01T08:39:07Z,50.0
2023-09-01T08:40:07Z,50.0
2023-09-01T08:41:07Z,77.6
2023-09-01T08:42:07Z,78.2
2023-09-01T08:43:07Z,50.0
2023-09-01T08:44:07Z,78.5
2023-09-01T08:45:08Z,76.5
2023-09-01T08:46:08Z,50.0
2023-09-01T08:47:08Z,77.3
2023-09-01T08:48:08Z,50.0
2023-09-01T08:49:08Z,50.0
2023-09-01T08:50:08Z,50.0
2023-09-01T08:51:08Z,79.5
2023-09-01T08:52:09Z,84.7
2023-09-01T08:53:09Z,50.0
2023-09-01T08:54:09Z,82.5
2023-09-01T08:55:09Z,79.7
2023-09-01T08:56:09Z,79.0
2023-09-01T08:57:09Z,50.0
2023-09-01T08:58:09Z,80.8
2023-09-01T08:59:10Z,79.2
2023-09-01T09:00:10Z,76.9
2023-09-01T09:01:10Z,77.3
2023-09-01T09:02:10Z,78.2
2023-09-01T09:03:10Z,79.2
2023-09-01T09:04:10Z,78.8
2023-09-01T09:05:10Z,79.3
2023-09-01T09:06:10Z,82.9
2023-09-01T09:07:10Z,83.9
2023-09-01T09:08:10Z,83.8
2023-09-01T09:09:11Z,83.6
2023-09-01T09:10:11Z,83.8
2023-09-01T09:11:11Z,83.1
2023-09-01T09:12:11Z,82.5
2023-09-01T09:13:11Z,81.0
2023-09-01T09:14:11Z,78.6
2023-09-01T09:15:11Z,78.6
2023-09-01T09:16:11Z,79.3
2023-09-01T09:17:12Z,79.5
2023-09-01T09:18:12Z,80.2
2023-09-01T09:19:12Z,78.2
2023-09-01T09:20:12Z,79.1
2023-09-01T09:21:12Z,79.0
2023-09-01T09:22:12Z,79.4
2023-09-01T09:23:12Z,83.8
2023-09-01T09:24:12Z,83.6
2023-09-01T09:25:12Z,50.0
2023-09-01T09:26:12Z,81.3
2023-09-01T09:27:13Z,79.6
2023-09-01T09:28:13Z,78.6
2023-09-01T09:29:13Z,78.4
2023-09-01T09:30:13Z,80.6
2023-09-01T09:31:13Z,83.4
2023-09-01T09:32:13Z,87.3
2023-09-01T09:33:13Z,88.1
2023-09-01T09:34:14Z,90.6
2023-09-01T09:35:14Z,92.8
2023-09-01T09:36:14Z,91.8
2023-09-01T09:37:14Z,91.5
2023-09-01T09:38:14Z,92.9
2023-09-01T09:39:14Z,93.8
2023-09-01T09:40:15Z,93.3
2023-09-01T09:41:15Z,50.0
2023-09-01T09:42:15Z,92.6
2023-09-01T09:43:15Z,93.1
2023-09-01T09:44:15Z,50.0
2023-09-01T09:45:15Z,93.4
2023-09-01T09:46:15Z,95.1
2023-09-01T09:47:16Z,96.6
2023-09-01T09:48:16Z,95.8
2023-09-01T09:49:16Z,95.5
2023-09-01T09:50:16Z,96.3
2023-09-01T09:51:16Z,95.9
2023-09-01T09:52:17Z,95.5
2023-09-01T09:53:17Z,95.5
2023-09-01T09:54:17Z,95.1
2023-09-01T09:55:17Z,94.5
2023-09-01T09:56:17Z,94.9
2023-09-01T09:57:17Z,95.2
2023-09-01T09:58:18Z,95.8
2023-09-01T09:59:18Z,96.1
2023-09-01T10:00:18Z,95.8
2023-09-01T10:01:18Z,96.1
2023-09-01T10:02:18Z,96.2
2023-09-01T10:03:18Z,94.6
2023-09-01T10:04:19Z,94.3
2023-09-01T10:05:19Z,94.7
2023-09-01T10:06:19Z,50.0
2023-09-01T10:07:19Z,93.7
2023-09-01T10:08:19Z,93.5
2023-09-01T10:09:19Z,93.4
2023-09-01T10:10:20Z,93.6
2023-09-01T10:11:20Z,50.0
2023-09-01T10:12:20Z,94.7
2023-09-01T10:13:20Z,95.5
2023-09-01T10:14:20Z,96.1
2023-09-01T10:15:20Z,50.0
2023-09-01T10:16:21Z,50.0
2023-09-01T10:17:21Z,94.4
2023-09-01T10:18:21Z,94.8
2023-09-01T10:19:21Z,95.5
2023-09-01T10:20:21Z,95.1
2023-09-01T10:21:22Z,95.2
2023-09-01T10:22:22Z,95.2
2023-09-01T10:23:22Z,94.6
2023-09-01T10:24:22Z,94.2
2023-09-01T10:25:22Z,94.0
2023-09-01T10:26:23Z,93.5
2023-09-01T10:27:23Z,93.3
2023-09-01T10:28:23Z,93.4
2023-09-01T10:29:23Z,93.8
2023-09-01T10:30:23Z,93.1
2023-09-01T10:31:23Z,93.4
2023-09-01T10:32:23Z,93.8
2023-09-01T10:33:24Z,94.2
2023-09-01T10:34:24Z,94.1
2023-09-01T10:35:24Z,94.5
2023-09-01T10:36:24Z,94.4
2023-09-01T10:37:24Z,94.0
2023-09-01T10:38:24Z,94.3
2023-09-01T10:39:25Z,95.0
2023-09-01T10:40:25Z,94.7
2023-09-01T10:41:25Z,94.9
2023-09-01T10:42:25Z,95.5
2023-09-01T10:43:25Z,95.2
2023-09-01T10:44:25Z,94.7
2023-09-01T10:45:25Z,94.3
2023-09-01T10:46:26Z,94.5
2023-09-01T10:47:26Z,94.2
2023-09-01T10:48:26Z,94.6
2023-09-01T10:49:26Z,94.6
2023-09-01T10:50:26Z,94.7
2023-09-01T10:51:26Z,95.0
2023-09-01T10:52:26Z,95.0
2023-09-01T10:53:27Z,94.5
2023-09-01T10:54:27Z,94.2
2023-09-01T10:55:27Z,50.0
2023-09-01T10:56:27Z,95.0
2023-09-01T10:57:27Z,96.7
2023-09-01T10:58:27Z,96.9
2023-09-01T10:59:27Z,50.0
2023-09-01T11:00:28Z,96.3
2023-09-01T11:01:28Z,97.0
2023-09-01T11:02:28Z,98.3
2023-09-01T11:03:28Z,98.6
2023-09-01T11:04:28Z,98.5
2023-09-01T11:05:28Z,98.4
2023-09-01T11:06:29Z,98.8
2023-09-01T11:07:29Z,98.8
2023-09-01T11:08:29Z,98.4
2023-09-01T11:09:29Z,98.5
2023-09-01T11:10:29Z,98.3
2023-09-01T11:11:29Z,98.0
2023-09-01T11:12:29Z,50.0
2023-09-01T11:13:30Z,97.5
2023-09-01T11:14:30Z,96.2
2023-09-01T11:15:31Z,95.2
2023-09-01T11:16:31Z,95.6
2023-09-01T11:17:31Z,95.2
2023-09-01T11:18:31Z,95.5
2023-09-01T11:19:31Z,95.5
2023-09-01T11:20:31Z,95.1
2023-09-01T11:21:31Z,95.6
2023-09-01T11:22:32Z,95.8
2023-09-01T11:23:32Z,95.2
2023-09-01T11:24:32Z,95.2
2023-09-01T11:25:32Z,50.0
2023-09-01T11:26:32Z,95.0
2023-09-01T11:27:32Z,94.7
2023-09-01T11:28:32Z,94.4
2023-09-01T11:29:32Z,50.0
2023-09-01T11:30:33Z,50.0
2023-09-01T11:31:33Z,87.5
2023-09-01T11:32:33Z,88.6
2023-09-01T11:33:33Z,89.5
2023-09-01T11:34:33Z,92.5
2023-09-01T11:35:33Z,94.1
2023-09-01T11:36:34Z,94.9
2023-09-01T11:37:34Z,95.6
2023-09-01T11:38:34Z,50.0
2023-09-01T11:39:34Z,94.8
2023-09-01T11:40:34Z,93.9
2023-09-01T11:41:34Z,89.7
2023-09-01T11:42:34Z,81.0
2023-09-01T11:43:35Z,79.7
2023-09-01T11:44:35Z,81.1
2023-09-01T11:45:35Z,85.0
2023-09-01T11:46:35Z,84.8
2023-09-01T11:47:35Z,50.0
2023-09-01T11:48:35Z,84.3
2023-09-01T11:49:36Z,79.8
2023-09-01T11:50:36Z,81.8
2023-09-01T11:51:36Z,85.6
2023-09-01T11:52:36Z,88.4
2023-09-01T11:53:36Z,90.8
2023-09-01T11:54:36Z,91.7
2023-09-01T11:55:36Z,91.6
2023-09-01T11:56:37Z,50.0
2023-09-01T11:57:37Z,50.0
2023-09-01T11:58:37Z,50.0
2023-09-01T11:59:37Z,50.0
2023-09-01T12:00:37Z,50.0
2023-09-01T12:01:37Z,50.0
2023-09-01T12:02:38Z,50.0
